job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
បុគ្គលិកទីផ្សារ (ច្រើននាក់ នៅតាមខេត្តផ្សេងៗ),Publish Date：Aug-17-2022,Closing Date：Sep-16-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Agriculture/Foresty/Fishing,High School,English-- Fair,Phnom Penh,"- ទំនាក់ទំនងលេខទូរស័ព្ទៈ 017496066 (Ms. Chakriya)
- Email: kesaieagrow@gmail.com"
Waiter/ Waitress/ Bartender,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,10,Negotiable,~,Age Unlimited,Full Time,Hotel/Hospitality,Hotel/Hospitality,No limitations,English-- Excellent,Siem Reap,"-Minimum 1 year of relevant experience-Additional certification(s) in Food & Beverage will be an advantage-Good reading, writing and oral proficiency in English language-Good communication and customer contact skills-Service oriented with an eye for details-Ability to work effectively and contribute in a team-Must be well-presented and professionally groomed at all times"
Senior Cook/ Cook /Cook Helper,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,5,Negotiable,~,Age Unlimited,Full Time,Hotel/Hospitality,Hotel/Hospitality,Others,English-- Good,Siem Reap,-Minimum 1 year of relevant experience-Good oral and written English communication skills-HACCP and Food Hygiene knowledge-Ability to work effectively and contribute in a team-Must be well-presented and professionally groomed at all times
Engineering Technician,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,4,Negotiable,~,Age Unlimited,Full Time,Technician/Maintenance,Hotel/Hospitality,Others,English-- Good,Siem Reap,"-Minimum 1 year of relevant experience-Good reading, writing and oral proficiency in English language-Good communication and customer contact skills-Service oriented with an eye for details-Ability to work effectively and contribute in a team-Must be well-presented and professionally groomed at all times"
Housekeeping Attendant/ Laundry Attendant,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,2,Negotiable,~,Age Unlimited,Full Time,Hotel/Hospitality,Hotel/Hospitality,Others,English-- Good,Siem Reap,"-Minimum 1 year of relevant experience-Good reading, writing and oral proficiency in English language-Good communication and customer contact skills-Service oriented with an eye for details-Ability to work effectively and contribute in a team-Must be well-presented and professionally groomed at all times"
Call Center Officer/ Shop Attendant,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,2,Negotiable,~,Age Unlimited,Full Time,Hotel/Hospitality,Hotel/Hospitality,Others,English-- Excellent,Siem Reap,-Minimum 1 year of relevant experience-Good oral and written English communication skills-Service oriented with an eye for details-Ability to work effectively and contribute in a team-Must be well-presented and professionally groomed at all times
"Supervisor, Internal Audit",Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Middle,4,1,Negotiable,Male/Female,Age Unlimited,Full Time,Others,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"JOB REQUIREMENT:

• Degree in accounting and finance-related field
• ACCA qualified an advantage 
• 4 or more years in audit experience 
• Knowledge of Audit and Assurance
• Knowledge of accounting and finance
• Knowledge of Taxation in Cambodia
• Knowledge of business operations 
• Team player with strong interpersonal, communication, and project
• Fast and pro-active learner
• Ability to work under pressure
• Strong presentation, written communications, and report-writing skills in English and Khmer
• Advanced level in Ms. Office
• Possess initiative and have an analytical mindset
• Flexible to travel in cities and provinces"
Recruitment Specialist (Automotive Industry),Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Senior,3,1,Negotiable,Male/Female,20 ~ 40,Full Time,Human Resource,Automotive - Vehicle,Bachelor Degree,English-- Excellent,Phnom Penh,"- Bachelor’s degree in Human Resources Management or Business Administration or any related field.
- Minimum 2 years of experiences and knowledge of HR recruitment, tools in human resource management.
- Has knowledge about Job Description preparation; 
- Has knowledge about Document Management; 
- Understand Labor Law, Contract Law, Regulation, Prakas, and Announcement of MOL, NBC, and MOC
- Has Knowledge about Office Administration
- Communication and Interpersonal skills
- Analytical, mathematical, and problem solving skills
- Be Patience, Honest, and trustworthy
- Be able to speak, read, and write English 
- The ability to work under pressure and to deadlines
- Good Computer skills such as Ms. Word, Excel, Power Point, Internet and Email
- Analyzing & Interpreting
- Effective Negotiation skills is preferable
- Excellence in interpersonal and communication skills and able to communicate with people at all levels.
- Have working experiences in heavy industrial or manufacturing is preferable."
"Officer, Risk Management",Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Middle,2,1,Negotiable,Male/Female,25 ~ 35,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"-Bachelor’s degree of Business Management or other related risk management fields.-A minimum of 2 years’ experience in risk management field in banking sector.-Computer Literacy, especially Microsoft Excel.-Good in English proficiency including speaking and writing-Ability to do multi-tasks and good financial analysis skill-Good communication skill and presentation skill"
"Manager, Internal Audit",Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Top,2,1,Negotiable,Male/Female,25 ~ 35,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree in accounting finance or Auditing;• Minimum 1 year working experience in either internal or external audit;• Strong analytical skills and having skeptical mind;• Strong organizational, interpersonal, team player and good negotiation skills;• Knowledge in MS Office (Word, Excel and PowerPoint);• Fluency in English and Khmer (both speaking and writing);• CAT, ACCA or other related professional certification is preferred."
Personal Financial Consultant,Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Middle,2,1,Negotiable,Male/Female,25 ~ 35,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"-Bachelor Degree in business related filed -Relevant retail banking experience of at least 2 years preferred -Pleasant and service-oriented-Confident, strong communication and interpersonal skills-Good understanding of financial compliance and regulatory requirements is an added advantage-Candidates with strong acquisition or good networking background are preferred Good command in English (speaking & writing)-Ability to negotiate and build relationship-Computer literacy in MS Word, Excel and Power Point."
Chief Cashier,Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Middle,2,1,Negotiable,Male/Female,25 ~ 35,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"• Bachelor’s degree in Banking and Finance, Account, or equivalent;• At least 2 years experienced with banks or MFIs;• Good command both spoken and writing English;• Effective communication, Pleasant and Friendly personality• Computer literacy. such Khmer and English Typing, MS Word, Excel and core bankingsystem;• Team Management experience;• Discretion, integrity, and attention to detail person;• Autonomous, pro-active and quick learner."
Teller,Publish Date：Aug-24-2022,Closing Date：Sep-23-2022,Middle,2,1,Negotiable,Female,25 ~ 35,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,English-- Good,Phnom Penh,"Degree in Business related disciplines. At least 2 years of teller or customer service experience is an advantageRelevant experience in the banking or service industry is an advantage.Pleasant personality, friendly;Confident, strong communication and interpersonal skills. Excellent Good verbal and written English is an advantage Ability to build a good relationship with customers. Computer literacy in MS Word, Excel and Power Point."
Customer service (salary 250$-500$),Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,6,Negotiable,~,18 ~ 35,Full Time,Customer Service,General Business Services,High School,English-- Poor,Kandal,"*** Job Requirements- Working 9 hours per days and 4 days off per month plus PH- Working location is in Kohthom, Kandal Province - Accommodation And Food are provided - Adaptability and flexibility to work in startup- Good communication skill- Good hospitality- English starter level- Good logical thinking and problem-solving skills.- Be able to use Microsoft word Excel Powerpoint and email"
SEO (salary 400$-600$),Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,~,1,1,Negotiable,~,Age Unlimited,Full Time,Operation/Production,General Business Services,Bachelor Degree,~,Phnom Penh,"*** Job Requirement - Professional SEM/SEO, using a variety of online promotion methods to improve the company's brand awareness, to achieve the effect of increasing the number of consultations.- The keyword ranking is regular, and the keyword ranking can be used to increase the web search weight of the company's APP, WeChat, and website. - Use reasonable ways to increase website traffic, visit volume, conversion rate and other indicators; participate in other promotion activities of relevant departments, and complete other tasks assigned by the leadership.*** Qualifications- Familiar with SEM/SEO;- More than 1 year of experience in network promotion SEO/SEM/ASO, understand the characteristics of the Internet, and be familiar with the operation of the network platform and various ways of promotion.- Familiar with APP, advertisements, Blogs, forums, communities, groups, pictures and videos, etc. and other emerging network promotion media"
Higher Education Lecturer,Publish Date：Aug-24-2022,Closing Date：Sep-22-2022,Senior,2,~,Negotiable,Male/Female,Age Unlimited,Full Time,Education/Training,Education,Master Degree,English-- Good,Phnom Penh,"• Master Degree in Business or equivalent in related fields
• At least 2 years of relevant experience in education or business
• Good interpersonal skills and teamwork
• Native or excellence English language
• Excellent oral and written communication skills in order to deliver lecturers, workshops and presentations
• Networking skills in order to build relationships with other faculty member, both in the UK and within your own department
• Good research skills and the ability to organise your own workload and research group
• The ability to manage your time within competing demands and work under pressure
• The capability to work both independently and collaboratively as part of a team
• Good general IT skills.
• A flexible approach to work and willing to learn new things

Salary and Benefits
• Competitive salary
• Paid holiday and observances, annual leave, sick leave, special leave
• NSSF Insurance
• Team Building budget: annual party, team building trip and staff annual trip
• Visa Fee expense and proce..."
Accountant.,Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Accounting,Education,Bachelor Degree,English-- Fair,Phnom Penh,"• Bachelor’s degree in accounting, finance, business, or related field 
• Previous experience as an accountant or junior accountant 
• Excellent computer skills; Microsoft Office Suite knowledge • Proficiency with accounting software and experience with a software system implementation 
• Able to analyze financial records and interpret for other departments 
• Honest, Patient, Committed 
• High responsibility in work 
• Must be honest, patient, hard-working and have a positive team spirit Work independently, and friendly. 
+++ Benefits 
• Free Cambridge English Course at Campus UK 
• Free Lunch 
• Insurance Packages 
• Annual Trip 
• Promoted opportunity 
• Friendly working environment 
• Scholarship opportunities 
• Be a Cambridge and IELTS| British Council Invigilator"
Admin and HR Officer.,Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Human Resource,Education,Bachelor Degree,English-- Good,Phnom Penh,"• At least one-year experience with related field.
• Understand theory, responsibilities, and role of Admin and HR
• Graduated with bachelor degree of HR, Business Administration, Management, and other related fields. 
• Master of Ms. Office, internet, email, and outlook. 
• Comfortable with every situation, and every kind of individual’s personality. 
• Well balance to employee and organizations’ requirements. 
• High responsibility and sympathy to both parties
• Receiving constructive criticism and modifying work ethic and culture 
• Responsive, and good decision making, well verbal and non-verbal communication.
• Well organize. 
• Problem-solving and flexibility are also considered. 
• Work independently, and friendly. 
+++ Benefits
• Free Cambridge English Course at Campus UK
• Free Lunch
• Insurance Packages
• Annual Trip
• Promotion opportunity 
• Friendly working environment 
• Scholarship opportunities 
• Be a Cambridge and IELTS| British Council Invigilators"
Translator (English),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Translation/Interpretation,Education,Bachelor Degree,English-- Good,Phnom Penh,"• Graduated with bachelor degree in English Studies, and other related files.
• One-years experiences in translation. 
• Value education, and has broad knowledge in any fields. 
• Be initiative, creative, challenging, responsive, industrious, and honest.
• Exhibit an enthusiastic and proactive attitude, as well as comfort with working in 
a corporate environment. 
• Good verbal and written expression in English. 
• Be able to use Microsoft Office, Social Media, Internet and Email. 
• Eager to learn new things. 
• Be able to work under pressure and different environments
• Be able to work across cultures.
• Be able to travel abroad and provinces. 
+++ Benefits
• Free Cambridge English Course at Campus UK
• Free Lunch
• Insurance Package
• Annual Trip
• Promotion opportunity 
• Friendly working environment 
• Scholarship opportunity 
• Be a Cambridge and IELTS| British Council Invigilators"
Marketing Officer,Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Entry Level,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Education,Bachelor Degree,English-- Good,Phnom Penh,"• Cambodia/ Permanent Resident
• Graduated with Business Administration, Marketing, and other related fields
• Value education 
• Good command in English 
• Good decision making, planning, and high critical thinking skill. 
• Have a strong leadership, inspiring, and motivational skills. 
• Be initiative, creative, challenging, responsive, industrious, and honest.
• Exhibit an enthusiastic and proactive attitude, as well as comfort with working in 
a corporate environment. 
• Be able to use Microsoft Office, Social Media, Internet and Email. 
• Eager to learn new things. 
• Be able to work under pressure and different environments.
• Be able to work across cultures, and travel abroad and provinces. 
• Take responsibility and accountability, honest and active listener 
• Demonstrates a ‘can do’ attitude including suggesting solutions, participating, 
trusting and encouraging others and achieving expectations
+++ Benefits
• Free Cambridge English Course at Campus UK
• Free Lunch
• Insurance Package
• Annual T..."
Operation Staff (2 Positions),Publish Date：Aug-24-2022,Closing Date：Sep-22-2022,Middle,~,2,Negotiable,Male/Female,Age Unlimited,Full Time,Operation/Production,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good Chinese-Mandarin-- Good,Phnom Penh,"- Previous related skills in Forwarding/ Shipping/ Logistics filed
- Very Good command in English or Chinese
- Excellent communication and interpersonal skills 
- Ability to work independently with minimum supervision 
- Excellent computer skills – Ms Word, Excel, Internet email
- Work under pressure"
Messenger,Publish Date：Aug-24-2022,Closing Date：Sep-22-2022,Entry Level,~,2,Negotiable,Male,Age Unlimited,Full Time,Logistics/Shipping/Deliver/Warehouse,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good,Phnom Penh,
Internship Opportunity,Publish Date：Aug-24-2022,Closing Date：Sep-22-2022,Middle,~,~,Negotiable,Male/Female,Age Unlimited,Internship,IT,Logistics/Freight/Shipping/Delivery/Warehouse,Bachelor Degree,English-- Good,Phnom Penh,
Service staff / Bartender,Publish Date：Aug-24-2022,Closing Date：Sep-22-2022,~,1,~,Negotiable,~,18 ~ 35,Full Time,Catering/Restaurant,Food & Beverages,High School,English-- Good,Phnom Penh,"• Have experiences
• Must be good in English (Speaking, Lessening and writing ) 
• Must be able to work under pressure and keen to learn
• Can Work at Morning Shift or afternoon shift"
Brand Manager (FMCG) - Expat,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,~,3,2,Negotiable,Male/Female,18 ~ 35,Full Time,Sales,Automotive - Vehicle,Bachelor Degree,English-- Good,Phnom Penh,"Requirements
- Bachelor degree in Marketing or other relevant degrees
- 2-3years in FMCG industry or related field is an advantage
- English proficiency and Good interpersonal skills
- Excellent in using Ms. office (Word, Excel, PowerPoint)
- Be a committed, proactive, challenging, independent, honest and team-work person"
Sale Officer,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,10,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Kampong Speu,"Bachelor Degree in Management, Finance & Banking, or related field Be able to work on field. Good Communication. High commitment, and pressure handling well Be able to use MS.Office (Word, Excel. Power Point, etc.) Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"""
Data Analysis,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Middle,2,2,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Kampong Speu,"– Bachelor’s degree preferably in IT, Accounting, Economic & Management or related file.– 3 years’ experience.-Excellent Excel, PowerPoint, Business graph– Excellent verbal and written skill.-Strong presentation, interpersonal and communication skill.-Creative and time management skill.-Microsoft Office, Microsoft Team, Internet and E-mail.-Strong Commitment and Hardworking-Fast-Learning"
Assessment Officer (onside),Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,3,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"Bachelor Degree in Management, Finance & Banking, or related field No experience required Be proactive, high commitment, and pressure handling well Willing to work on field visit and well understand the area based on working location (Phnom Penh or Provincial) English proficiency with MS.Office (Word, Excel. PowerPoint, etc.) Strong inter and intrapersonal skill, problem-solving skill, critical thinking skill, and motivation/energetic skill"""
Customer Service,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,3,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"- Bachelor Degree in Management, Finance & Banking, or related field- Minimum 02 years experience in similar role- Experience in managing banking operation- High cast handling and customer services skill- Be proactive, high commitment, and pressure handling well- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"""
Loan Recovery,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,10,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"Pursuing in Bachelor Degree in Sales & Marketing or Any related fields Good Communication skill with morality Be able to work outside Be able to use Microsoft Offices Work under pressure, Friendly and respect Good Communication skill with morality Hard working and high commitment."""
Sale Leader,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Middle,2,1,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"Bachelor Degree in Management, Finance & Banking, or related field Minimum 01 year experience in similar role Experience in managing banking operation Keen to work as an administration with some supportive functions in branch Be proactive, high commitment, and pressure handling well English proficiency with MS.Office (Word, Excel. Power Point, etc.) Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"""
Credit Officer,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,~,10,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"Pursuing in Bachelor Degree in Sales & Marketing or Any related fields Good Communication skill with morality Be able to work outside Be able to use Microsoft Offices Work under pressure, Friendly and respect Good Communication skill with morality Hard working and high commitment."""
Branch Admin,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Middle,2,2,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,~,~,Kampong Speu,"- Bachelor Degree in Management, Finance & Banking, or related field- Minimum 01 year experience in similar role- Experience in managing MFI/Banking operations- Developing relationships with clients/agents- Be able to work on field and provincial visit- Be a centralize contact point and administration support between Branch and HQ- Be proactive, high commitment, and pressure handling well- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"""
Credit Control Officer,Publish Date：Aug-18-2022,Closing Date：Sep-17-2022,Middle,1,1,Negotiable,Male/Female,Age Unlimited,Full Time,Finance,Telecommunication,Bachelor Degree,English-- Good,Phnom Penh,• Good business acumen for problem-solving with customer-oriented• Good time management skills and ability to prioritize a demanding workload• Basic Knowledge of accounting and finance• Strong Teamwork and collaboration.• Can work with less supervision.• Able to cope with stress and effectively generate production.• Quick learner and willing to learn new things.
Teller,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Entry Level,1,5,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Kampong Speu,"- Bachelor Degree in Management, Finance & Banking, or related field- Minimum 01 year experience in similar role- Experience in managing banking operation- Experience and willing develop a sales team to achieve- Developing relationships with clients/agents- Be proactive, high commitment, and pressure handling well- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"
Chief Teller,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Middle,3,4,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Kampong Speu,"- Bachelor Degree in Management, Finance & Banking, or related field- Minimum 02 to 04 years experience in similar role- Experience in managing banking operation- Developing relationships with clients/agents- In-depth knowledge of the Cambodia banking industry- Be proactive, high commitment, and pressure handling well- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"
Deputy Branch Manager,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Senior,3,5,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Phnom Penh，Kampong Speu,"- Bachelor Degree in Management, HR, or related field- Minimum 03 to 05 years experience in similar role- Experience in managing banking operations, KPIs and cost structures are advantage- In-depth knowledge of the Cambodia banking industry.- Be proactive, commitment and able to travel cross province as business needs- Good knowledge of preparing and monitoring the Sales plan- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"
Branch Manager,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,Senior,5,1,Negotiable,~,Age Unlimited,Full Time,Bank/Insurance,Banking & Finance,Bachelor Degree,~,Kampong Speu，Phnom Penh,"- Bachelor Degree in Management, HR, or related field- Minimum 03 to 05 years experience in similar role- Experience in managing banking operations, KPIs and cost structures are advantage- In-depth knowledge of the Cambodia banking industry.- Be proactive, commitment and able to travel cross province as business needs- Good knowledge of preparing and monitoring the business plan- English proficiency with MS.Office (Word, Excel. Power Point, etc.)- Strong inter and intra personal skill, problem solving skill, critical thinking skill, and motivation/energetic skill"
Nurse,Publish Date：Aug-23-2022,Closing Date：Sep-22-2022,~,~,2,Negotiable,~,Age Unlimited,Full Time,Medical/Health/Nursing,Education,~,~,Phnom Penh,
បុគ្គលិកផ្នែកលក់ក្នុងហាង (១០នាក់),Publish Date：Aug-20-2022,Closing Date：Sep-19-2022,Entry Level,~,10,Negotiable,~,20 ~ 40,Full Time,Sales,General Business Services,Associate Degree,English-- Good,Phnom Penh,"*** Job Requirements 

•អាយុ ២០ ~40 ឆ្នាំ ភេទ ស្រីឬប្រុស 
•រៀនចប់ថ្នាក់ទី១២ឬ ជានិស្សិតដែលកំពុងសិក្សានៅមហាវិទ្យាល័យ។ 
•បទពិសោធន៍ការងារ៖ អាចមានឬមិនមានបទពិសោខាធន៍ផ្នែកលក់ពាក់ព័ន្ធជាមួយគ្រឿងអលង្ការ
•មានទំនាក់ទំនងល្អរួសរាយរាក់ទាក់និងស្វាគមន៍
•មានភាពស្នោះត្រង់ជាមួយក្រុមហ៊ុន 
*មានភាពតស៊ូ និងអត់ធ្មត់ក្នុងការងារ 
•ការប្រាស្រ័យទាក់ទងខ្លាំងនិងបង្ហាញជំនាញសេវាកម្មដល់អតិថិជន 
• មានចំណេះដឹងខ្លះៗអំពីកម្មវិធីកុំព្យូទ័រ Microsoft Office

* អត្ថប្រយោជន៏ទទួលបាន
- ទទួលបានប្រាក់បៀវត្សរ៍សមរម្យ
- មានឧកាសទទួលបានការដំឡើងប្រាក់បៀវត្សរ៍
- មានឧកាសទទួលបានវគ្គបណ្តុះបណ្តាលផ្សេងៗ
- មានឱកាសឡើងដំណែងនិងតួនាទី ព្រមជាមួយនិង
អត្ថប្រយោជន៍ជាច្រើនផ្សេងៗទៀត
- ទទួលបានអាហារថ្ងៃត្រង់មួយពេល
- កម្មវិធីជួបជុំ និងសកម្មភាពកំសាន្តផ្សេងៗ

- Email: saosethina667@gmail.com
- Phone: 010 770400 / 092 628967
- Telegram: 010 770400 ( Sao Sethina) 
- អាស័យដ្ឋាន: អារគារ The Point ទល់មុខស្ថានទូតចិន ផ្លូវម៉ៅសេទុង ខ័ណ្ឌ បឹងកេងកង ភ្នំពេញ"
បុគ្គលិកផ្នែកលក់ (ខាងក្រៅ),Publish Date：Aug-20-2022,Closing Date：Sep-19-2022,Entry Level,1,2,Negotiable,~,18,Full Time,Sales,General Business Services,Bachelor Degree,English-- Good,Phnom Penh,
វិចិត្រករ (1 Position),Publish Date：Aug-20-2022,Closing Date：Sep-19-2022,Entry Level,1,1,Negotiable,~,Age Unlimited,Full Time,Architecture/Engineering,General Business Services,Bachelor Degree,English-- Good,Phnom Penh,"*** Requirement
- ត្រូវមានអាយុចាប់ពី 18 ឆ្នាំ ឡើងទៅ 
- ភេទស្រីឬ ប្រុស
- ជានិស្សិតកំពុងសិក្សាឬ បញ្ចប់ថ្នាក់មហាវិទ្យាល័យ
- មានបទពិសោធន៍ផ្នែកគូរូប ១ឆ្នាំឡើងទៅជាពិសេស គូរូបគំនូរទាក់ទងនឹងគ្រឿងអលង្ការផ្សេងៗ
- អាចធ្វើការពិនិត្យនិងវាយតំលៃបានចំពោះរូបគំនូរដែលខ្លួនបានគូហើយ
- អាចប្រើប្រាស់កុំព្យូទ័របាន ជាពិសេស Ms. office, internet, ……………………….
- ត្រូវមានភាពរួសរាយរាក់ទាក់ ភាពស្មោះត្រង់ តស៊ូ ព្យាយាម និងគំនិតច្នៃប្រឌិត 
- មានទំនួលខុសត្រូវខ្ពស់ចំពោះការងារ

***អត្ថប្រយោជន៏ទទួលបាន
• ផ្តល់ជូនប្រាក់បៀវត្សរ៍ សមរម្យទៅតាមសមត្ថភាព
• មានឧកាសទទួលបានការដំឡើងប្រាក់បៀវត្សរ៍
• មានឧកាសទទួលបានវគ្គបណ្តុះបណ្តាលផ្សេងៗ
• ចូលរួមកម្មវិធីផ្សេងៗ និងដំណើរកំសាន្តប្រចាំឆ្នាំ
• មានឧកាសឡើងតំណែងនិងតួនាទី ព្រមជាមួយនឹងអត្ថប្រយោជន៍ផ្សេងៗទៀត

- Email: saosethina667@gmail.com
- Phone: 010 770400 / 092 628967
- Telegram: 010 770400 ( Sao Sethina) 
- អាស័យដ្ឋាន: អារគារ The Point ទល់មុខស្ថានទូតចិន ផ្លូវម៉ៅសេទុង ខ័ណ្ឌ បឹងកេងកង ភ្នំពេញ"
Assistant Stock controllers ($300 - $500),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,~,1,~,Negotiable,Male/Female,Age Unlimited,Full Time,Catering/Restaurant,Catering,~,~,Phnom Penh,
Cashier Female ($300- $500),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Middle,2,1,Negotiable,Female,18 ~ 30,Full Time,Cashier/Receptionist,Food & Beverages,High School,English-- Good,Phnom Penh,"- Must have good in English
- Interpersonal skills
- Teamwork skills
- Organisational skills
- Negotiation skills
- Assertiveness
- Time management
- Decision making and problem solving skills
- Communication skills

* Interested applicants please send your CV through Email : sorya@stonegrill.com.kh /vannakyim16@gmail.com 
* Contact number : 081333220"
Waitress and Waiter( $300-$500),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Middle,~,~,Negotiable,Female,18 ~ 30,Full Time,Catering/Restaurant,Food & Beverages,High School,English-- Fair,Phnom Penh,"* Interested applicants please send your CV through Email :sorya@stonegrill.com.kh/ vannakyim16@gmail.com 
* Contact number : 081333220"
Receptionist Female ($300- $500),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Middle,2,1,Negotiable,Female,18 ~ 30,Full Time,Cashier/Receptionist,Food & Beverages,High School,English-- Good,Phnom Penh,"- Must have good in English
- Interpersonal skills
- Teamwork skills
- Organisational skills
- Negotiation skills
- Assertiveness
- Time management
- Decision making and problem solving skills
- Communication skills

* Interested applicants please send your CV through Email : sorya@stonegrill.com.kh /vannakyim16@gmail.com 
* Contact number : 081333220"
